Date,STOCKS,MARKET,CASH,ENERGY,REALEST,UST10,GOLD,SILVER,CMDTY,CPI
1931-10-31,0.1116,0.0809,0.001,0.1549,0.0876,0.003025,,,,-0.006666666667
1931-11-30,-0.0324,-0.0897,0.0017,-0.0843,-0.1415,-0.03826122173,,,,-0.01342281879
1931-12-31,-0.0521,-0.134,0.0012,-0.1884,-0.2304,-0.04084936889,,,,-0.006802721088
1932-01-31,-0.008,-0.0134,0.0023,-0.0518,0.0118,0.02387009645,,,,-0.02054794521
1932-02-29,0.019,0.0568,0.0023,0.0912,0.0761,0.02959594872,,,,-0.01398601399
1932-03-31,-0.0487,-0.1114,0.0016,-0.0067,-0.0031,0.03703354038,,,,-0.007092198582
1932-04-30,-0.0965,-0.1783,0.0011,-0.1417,-0.1425,-0.00810938681,,,,-0.007142857143
1932-05-31,-0.1328,-0.2045,0.0006,-0.0492,-0.5254,0.003133333333,,,,-0.01438848921
1932-06-30,0.0122,-0.0075,0.0002,0.0615,-0.081,0.02868489572,,,,-0.007299270073
1932-07-31,0.1257,0.3363,0.0002,0.3352,0.2647,0.02165299572,,,,0
1932-08-31,0.1618,0.3715,0.0003,0.1729,0.4767,0.007194993171,,,,-0.007352941176
1932-09-30,-0.0416,-0.0291,0.0003,-0.1059,-0.0836,0.001411293899,,,,-0.007407407407
1932-10-31,-0.0282,-0.1313,0.0002,-0.03,-0.1013,-1.392241779e-05,,,,-0.007462686567
1932-11-30,-0.2204,-0.0586,0.0002,-0.0403,-0.1233,0.01736586177,,,,-0.007518796992
1932-12-31,0.0269,0.0443,0.0001,0.0034,-0.173,0.02185208138,,,,-0.007575757576
1933-01-31,-0.0348,0.0125,0.0001,-0.0327,0.0988,-0.01040551795,,,,-0.01526717557
1933-02-28,-0.1413,-0.1532,-0.0003,-0.1302,-0.2787,-0.01308164163,,,,-0.01550387597
1933-03-31,0.0883,0.031,0.0004,0.0363,0.0514,0.00285,,,,-0.007874015748
1933-04-30,0.2868,0.3891,0.001,0.3947,0.4912,0.02031754469,,,,0
1933-05-31,0.1883,0.2147,0.0004,0.1707,0.4683,0.01595761815,,,,0
1933-06-30,0.1708,0.1312,0.0002,0.1177,0.3913,0.00414384224,,,,0.007936507937
1933-07-31,-0.1362,-0.0962,0.0002,-0.1161,-0.2632,0.001199153539,,,,0.03149606299
1933-08-31,0.1734,0.1207,0.0003,0.1915,0.1609,0.005615346174,,,,0.007633587786
1933-09-30,-0.0725,-0.1063,0.0002,-0.0217,-0.2144,-0.001740223909,,,,0
1933-10-31,-0.0816,-0.0835,0.0001,-0.0453,-0.0907,-0.0317528571,,,,0
1933-11-30,0.0746,0.0999,0.0002,0.1486,0.111,-0.007097837418,,,,0
1933-12-31,0.0185,0.0184,0.0002,-0.0116,0.1074,0.007230801099,,,,0
1934-01-31,0.1243,0.1265,0.0005,0.0839,0.4414,0.02907078547,,,,0
1934-02-28,-0.0016,-0.0249,0.0002,-0.0346,-0.1551,0.02039277355,,,,0.007575757576
1934-03-31,0.0105,0.0011,0.0002,-0.0121,-0.0231,0.0159946102,,,,0
1934-04-30,-0.0768,-0.0178,0.0001,-0.0199,-0.0833,0.0160292555,,,,0
1934-05-31,-0.0869,-0.0725,0.0001,-0.0452,-0.068,0.008510771659,,,,0
1934-06-30,0.027,0.0272,0.0001,0.0115,-0.0759,0.01152396147,,,,0.007518796992
1934-07-31,-0.0902,-0.1093,0.0001,-0.0945,-0.2659,-0.0139754182,,,,0
1934-08-31,0.1017,0.0559,0.0001,0.0607,0.0858,-0.02244531809,,,,0
1934-09-30,-0.0086,-0.0023,0.0001,-0.0245,-0.0287,0.01748895857,,,,0.01492537313
1934-10-31,0.0383,-0.0165,0.0001,-0.0477,-0.1035,0.00704217182,,,,-0.007352941176
1934-11-30,0.1365,0.0834,0.0001,0.0706,0.1711,0.01152490104,,,,0
1934-12-31,0.04,0.0037,0.0001,0.0067,0.0241,0.02216828885,,,,-0.007407407407
1935-01-31,-0.0029,-0.0345,0.0001,-0.0431,-0.0557,0.01612374165,,,,0.01492537313
1935-02-28,0.0325,-0.0194,0.0002,-0.0326,-0.1388,0.00538034127,,,,0.007352941176
1935-03-31,-0.0189,-0.037,0.0001,-0.0367,-0.1392,0.006904033983,,,,0
1935-04-30,0.0671,0.0907,0.0001,0.1562,0.1362,0.005352791816,,,,0.007299270073
1935-05-31,0.0137,0.0347,0.0001,0.0368,0.221,0.002266666667,,,,0
1935-06-30,0.0674,0.0594,0.0001,0.0145,-0.1266,0.006883627042,,,,-0.007246376812
1935-07-31,0.0643,0.0755,0.0001,0.0005,0.1819,-0.008461883802,,,,0
1935-08-31,0.0346,0.0266,0.0001,-0.0196,0.1033,-0.01134825769,,,,0
1935-09-30,0.0874,0.0263,0.0001,-0.0339,-0.0511,0.002375,,,,0
1935-10-31,0.1209,0.0704,0.0001,0.1382,0.2917,0.005413522855,,,,0
1935-11-30,0.0301,0.0489,0.0002,0.0268,0.1725,0.0008404669977,,,,0.007299270073
1935-12-31,0.0807,0.0456,0.0001,0.143,0.2676,0.006932838034,,,,0
1936-01-31,0.13,0.069,0.0001,0.1418,0.1184,0.006920460119,,,,0
1936-02-29,0.0117,0.025,0.0001,0.0113,0.0128,0.009983235649,,,,0
1936-03-31,0.0526,0.0098,0.0002,0.0176,-0.132,0.006887697208,,,,-0.007246376812
1936-04-30,-0.127,-0.0812,0.0002,-0.1017,-0.2536,0.005330819447,,,,0
1936-05-31,0.074,0.0521,0.0002,-0.0062,0.1149,0.0006943465416,,,,0
1936-06-30,-0.0122,0.0243,0.0003,0.0178,-0.0015,0.00378207639,,,,0.007299270073
1936-07-31,0.0751,0.0669,0.0001,0.047,0.011,0.008417814418,,,,0.007246376812
1936-08-31,0.0025,0.0101,0.0002,-0.0075,0.0739,0.0006553101946,,,,0.007194244604
1936-09-30,0.0116,0.0098,0.0001,0.01,-0.0937,-0.002412895838,,,,0
1936-10-31,0.0772,0.0712,0.0002,0.124,0.1681,0.0146482219,,,,0
1936-11-30,0.0303,0.0327,0.0001,0.0145,0.423,0.003719967686,,,,0
1936-12-31,0.0416,0.002,0,0.092,0.1517,0.005270706605,,,,0
1937-01-31,0.0355,0.0336,0.0001,0.0241,0.1227,0.006823254877,,,,0.007142857143
1937-02-28,0.0597,0.011,0.0002,0.0136,-0.0481,-0.01640246806,,,,0
1937-03-31,0.0403,-0.0025,0.0001,0.0349,-0.1375,-0.0236107776,,,,0.007092198582
1937-04-30,-0.1453,-0.0733,0.0003,-0.0525,-0.1732,0.006928706526,,,,0.007042253521
1937-05-31,-0.0193,-0.0077,0.0006,-0.002,-0.052,0.0008112762109,,,,0.006993006993
1937-06-30,-0.0702,-0.042,0.0003,-0.0261,-0.0958,0.006920460119,,,,0
1937-07-31,0.0979,0.0894,0.0003,0.0848,0.1963,0.002316666667,,,,0.006944444444
1937-08-31,-0.0737,-0.0486,0.0002,-0.0665,-0.092,-0.003765966756,,,,0
1937-09-30,-0.2074,-0.1358,0.0004,-0.131,-0.252,0.00235,,,,0.006896551724
1937-10-31,-0.1226,-0.0957,0.0002,-0.069,-0.0999,0.008455057937,,,,0
1937-11-30,-0.1258,-0.0831,0.0002,-0.1157,0,0.009983235649,,,,-0.006849315068
1937-12-31,-0.0075,-0.0429,0,-0.0116,-0.1908,0.008430947167,,,,-0.006896551724
1938-01-31,-0.0118,0.0048,0,0.0047,-0.015,0.00378207639,,,,-0.01388888889
1938-02-28,0.0165,0.0585,0,0.0954,0.042,0.003775167868,,,,-0.007042253521
1938-03-31,-0.1747,-0.2392,-0.0001,-0.2544,-0.2608,0.003768261228,,,,0
1938-04-30,0.1381,0.1449,0.0001,0.163,0.1574,0.01779298976,,,,0.007092198582
1938-05-31,0.008,-0.0386,0,-0.0589,0.0105,-0.0009761524132,,,,-0.007042253521
1938-06-30,0.1023,0.2389,0,0.2198,0.2125,0.00215,,,,0
1938-07-31,0.049,0.0732,-0.0001,0.0733,0.0684,0.003706186636,,,,0
1938-08-31,-0.0128,-0.0268,0,-0.0888,-0.1002,-0.007143649098,,,,0
1938-09-30,0.0024,0.0085,0.0002,0.0087,-0.0139,0.01466430585,,,,0
1938-10-31,0.0726,0.0781,0.0001,-0.0149,0.0909,0.0005673676903,,,,-0.007092198582
1938-11-30,-0.014,-0.018,-0.0006,-0.0014,-0.0833,0.002133333333,,,,0
1938-12-31,0.088,0.0416,0,0.0498,0.0562,0.00525439214,,,,0
1939-01-31,-0.0921,-0.0598,-0.0001,-0.0627,-0.1001,0.006811335028,,,,0
1939-02-28,0.0472,0.0352,0.0001,-0.0123,-0.0112,0.01470447755,,,,-0.007142857143
1939-03-31,-0.1837,-0.1204,-0.0001,-0.0827,-0.1079,0.009944923445,,,,0
1939-04-30,0.0216,-0.0018,0,-0.0106,0.0027,0.01958775302,,,,-0.007194244604
1939-05-31,0.0909,0.0682,0.0001,0.0255,-0.0208,0.009931386488,,,,0
1939-06-30,-0.0614,-0.0532,0.0001,-0.0593,-0.2385,0.0002435684946,,,,0
1939-07-31,0.1337,0.1022,0,0.029,0.005,-0.004543273826,,,,0
1939-08-31,-0.0426,-0.0669,-0.0001,-0.039,-0.0731,-0.05978171472,,,,0
1939-09-30,0.0792,0.169,0.0001,0.2505,0.1144,0.01308802749,,,,0.02173913043
1939-10-31,0.0547,-0.0053,0,-0.0386,-0.1116,0.02417739427,,,,-0.007092198582
1939-11-30,-0.0708,-0.0365,0,-0.0602,-0.0039,0.01952282113,,,,0
1939-12-31,0.0719,0.0293,0,-0.0009,0.018,0.00993783604,,,,0
1940-01-31,0.0003,-0.0241,0,-0.0217,0.0975,-0.001269152695,,,,-0.007142857143
1940-02-29,0.052,0.0144,0,0.0092,-0.0138,0.01154477058,,,,0.007194244604
1940-03-31,0.0464,0.0205,0,0.0171,0.084,0.001883333333,,,,0
1940-04-30,0.0384,0.0022,0,0.0016,-0.2254,-0.01868921995,,,,0
1940-05-31,-0.2832,-0.2202,-0.0002,-0.2463,-0.2727,0.0004106411933,,,,0
1940-06-30,0.0632,0.0669,0,0.056,0,0.01795900541,,,,0.007142857143
1940-07-31,0.0437,0.0318,0.0001,0.0321,0.0532,0.0003222625507,,,,-0.007092198582
1940-08-31,0.0216,0.022,-0.0001,0.0141,-0.0653,0.01154547578,,,,0
1940-09-30,0.0068,0.0239,0,-0.0236,0.5871,0.008312833766,,,,0
1940-10-31,0.0277,0.0303,0,0.0636,-0.048,0.02137515558,,,,0
1940-11-30,-0.0081,-0.0165,0,0.0084,-0.2899,0.01486308034,,,,0
1940-12-31,0.0186,0.0069,0,0.0223,0.1833,-0.01617998087,,,,0.007142857143
1941-01-31,-0.0527,-0.0419,-0.0001,-0.0206,0.13,-0.01431277298,,,,0
1941-02-28,-0.0228,-0.0144,-0.0001,-0.0068,-0.1151,0.01808180079,,,,0
1941-03-31,-0.0066,0.0085,0.0001,0.0377,0.2501,0.009921040728,,,,0.007092198582
1941-04-30,-0.0483,-0.0547,-0.0001,0.0145,-0.284,0.006631549259,,,,0.007042253521
1941-05-31,0.0128,0.0137,0,0.0551,-0.0391,0.006620530127,,,,0.006993006993
1941-06-30,0.0418,0.0583,0,0.051,0.1861,0.006609567306,,,,0.02083333333
1941-07-31,0.0825,0.059,0.0003,0.1095,0.1235,-0.003270530127,,,,0
1941-08-31,-0.0045,-0.0016,0.0001,-0.0347,0.0083,3.637880192e-05,,,,0.01360544218
1941-09-30,-0.0065,-0.0087,0.0001,-0.006,-0.1096,0.008262756408,,,,0.01342281879
1941-10-31,-0.0006,-0.0526,0,0.0228,-0.2069,-0.05558736365,,,,0.01324503311
1941-11-30,0,-0.0195,0,0.0319,-0.2066,-0.0184694884,,,,0.006535947712
1941-12-31,-0.0809,-0.0487,0.0001,-0.1119,0.033,0.0004890664664,,,,0.006493506494
1942-01-31,0.0023,0.0081,0.0002,-0.0168,0.0657,0.002066666667,,,,0.01290322581
1942-02-28,-0.0302,-0.0245,0.0001,-0.0591,0.011,0.005211056324,,,,0.006369426752
1942-03-31,-0.061,-0.0659,0.0001,-0.0831,-0.008,0.005200261135,,,,0.01265822785
1942-04-30,-0.0279,-0.0436,0.0001,-0.0354,-0.02,0.0004596716089,,,,0.00625
1942-05-31,0.0124,0.0599,0.0003,0.069,0.022,0.005194869389,,,,0.01242236025
1942-06-30,0.0146,0.027,0.0002,0.0446,-0.0048,-0.002691584486,,,,0
1942-07-31,0.081,0.0354,0.0003,0.0605,0.0038,0.0004792701228,,,,0.006134969325
1942-08-31,0.014,0.0183,0.0003,0.0359,-0.0447,0.003630528162,,,,0.006097560976
1942-09-30,0.0523,0.0265,0.0003,0.0235,0.0971,0.003623661724,,,,0
1942-10-31,0.0737,0.0685,0.0003,0.0966,-0.1095,-0.001099793088,,,,0.01212121212
1942-11-30,-0.0186,0.0016,0.0003,0.0099,0.0445,-0.001077278257,,,,0.005988023952
1942-12-31,0.0633,0.0517,0.0003,0.0758,-0.0934,0.006791584486,,,,0.005952380952
1943-01-31,0.0873,0.0716,0.0003,0.0637,0.2373,0.00205,,,,0
1943-02-28,0.0933,0.0619,0.0003,0.079,0.5877,-0.001088533734,,,,0
1943-03-31,0.1259,0.0606,0.0003,0.0694,-0.0957,0.002066666667,,,,0.01775147929
1943-04-30,0.1287,0.0084,0.0003,0.0085,-0.0084,0.005211056324,,,,0.01162790698
1943-05-31,0.1562,0.0577,0.0002,0.0572,0.3345,0.003623661724,,,,0.005747126437
1943-06-30,-0.0365,0.0185,0.0003,0.0128,-0.0074,0.002041666667,,,,0
1943-07-31,-0.1343,-0.0475,0.0003,-0.0279,-0.1235,0.000469471838,,,,-0.005714285714
1943-08-31,-0.0075,0.0133,0.0003,0.0107,-0.011,-0.001088533734,,,,-0.005747126437
1943-09-30,0.0601,0.0243,0.0003,0.0138,-0.0372,0.002066666667,,,,0.005780346821
1943-10-31,0,-0.0112,0.0003,-0.0208,0.0682,0.002066666667,,,,0
1943-11-30,-0.1416,-0.059,0.0003,-0.0692,-0.0926,0.0004988608717,,,,0
1943-12-31,0.1531,0.064,0.0003,0.0734,0.1926,0.002075,,,,0
1944-01-31,0.0314,0.0177,0.0003,0.0042,0.0307,0.002075,,,,0
1944-02-29,0.0012,0.004,0.0003,0.0006,-0.1108,0.003644266867,,,,0
1944-03-31,0.0755,0.0248,0.0002,0.0182,0.1126,0.002066666667,,,,0
1944-04-30,-0.0238,-0.0166,0.0003,-0.0133,-0.0256,0.0004988608717,,,,0.005747126437
1944-05-31,0.0581,0.0511,0.0003,0.0495,0.0504,0.002075,,,,0
1944-06-30,0.025,0.0554,0.0003,0.0051,0.119,0.002075,,,,0.005714285714
1944-07-31,-0.0258,-0.0146,0.0003,-0.013,-0.0745,0.003644266867,,,,0.005681818182
1944-08-31,0.0707,0.0159,0.0003,-0.0194,0.1561,0.003637396544,,,,0
1944-09-30,-0.0202,0.0004,0.0002,-0.0136,-0.0488,0.0004890664664,,,,0
1944-10-31,-0.0268,0.0019,0.0003,0.0189,0.0197,0.002066666667,,,,0
1944-11-30,0.036,0.0174,0.0003,0.0265,-0.0456,0.002066666667,,,,0
1944-12-31,0.0979,0.0406,0.0002,0.0506,0.3135,0.008367188937,,,,0.005649717514
1945-01-31,0.0355,0.0204,0.0003,0.0497,0.1159,0.01153724147,,,,0
1945-02-28,0.1131,0.0625,0.0002,0.0737,0.0144,-0.001178717613,,,,0
1945-03-31,-0.056,-0.0389,0.0002,-0.0525,-0.0773,0.003582504098,,,,0
1945-04-30,0.1455,0.0783,0.0003,0.0691,0.0198,0.001991666667,,,,0
1945-05-31,0.0182,0.0177,0.0003,-0.0095,0.0257,0.008345419805,,,,0.005617977528
1945-06-30,0.0759,0.0041,0.0002,-0.0056,0.0114,0.003548260101,,,,0.01117318436
1945-07-31,-0.083,-0.0214,0.0003,-0.0325,0.0037,-0.001223903558,,,,0
1945-08-31,0.0312,0.0625,0.0003,0.023,0.0118,0.0003811994184,,,,0
1945-09-30,0.0807,0.048,0.0003,0.019,0.2868,0.005151876569,,,,0
1945-10-31,0.0917,0.0392,0.0003,0.063,0.0736,0.005141167798,,,,0
1945-11-30,0.0893,0.0542,0.0002,0.0842,0.15,0.001941666667,,,,0
1945-12-31,0.0537,0.0122,0.0003,-0.0028,0.1207,0.02125516796,,,,0.005524861878
1946-01-31,0.1109,0.0627,0.0003,-0.0015,0.2751,0.01645028738,,,,0
1946-02-28,-0.066,-0.0581,0.0003,-0.0472,-0.0979,0.006650038896,,,,-0.005494505495
1946-03-31,0.0834,0.0591,0.0003,0.1117,0.0316,0.003370998413,,,,0.01104972376
1946-04-30,0.0477,0.0426,0.0003,0.088,-0.0025,-0.01600409476,,,,0.005464480874
1946-05-31,0.031,0.0397,0.0003,0.0368,0.0769,0.006676183634,,,,0.005434782609
1946-06-30,-0.0439,-0.0386,0.0003,-0.0314,-0.0692,-0.001428028028,,,,0.01081081081
1946-07-31,-0.0236,-0.0266,0.0003,-0.0007,-0.078,-0.00621549086,,,,0.05882352941
1946-08-31,-0.0665,-0.0643,0.0003,-0.0567,-0.1201,-0.006136163543,,,,0.0202020202
1946-09-30,-0.1423,-0.1015,0.0003,-0.0799,-0.1636,0.005103812414,,,,0.009900990099
1946-10-31,-0.0157,-0.0141,0.0003,-0.0067,-0.0682,0.003486745963,,,,0.01960784314
1946-11-30,0.0015,0.0001,0.0003,0.0058,-0.0343,0.003479921062,,,,0.02403846154
1946-12-31,0.0743,0.05,0.0003,0.0442,-0.0007,0.006695041991,,,,0.009389671362
1947-01-31,-0.0296,0.0128,0.0003,-0.0071,-0.0077,0.001841666667,,,,0
1947-02-28,-0.0247,-0.0106,0.0003,-0.0275,0.0431,0.005066653593,,,,0
1947-03-31,-0.0021,-0.0165,0.0003,0.0226,-0.1019,0.001825,,,,0.01860465116
1947-04-30,-0.0575,-0.0477,0.0003,-0.0036,-0.0754,0.001825,,,,0
1947-05-31,-0.0043,-0.0093,0.0003,0.0267,-0.0174,-0.002998831893,,,,0
1947-06-30,0.0526,0.0533,0.0003,0.0772,0.0557,-0.00296023789,,,,0.004566210046
1947-07-31,0.0379,0.0416,0.0003,0.0368,0.0835,0.003479921062,,,,0.009090909091
1947-08-31,-0.0244,-0.0171,0.0003,-0.0235,-0.0616,0.001866666667,,,,0.01351351351
1947-09-30,-0.0016,-0.0048,0.0006,-0.0295,-0.0357,-0.002934538703,,,,0.02222222222
1947-10-31,0.045,0.0253,0.0006,0.0529,0.0538,-0.01239089935,,,,0
1947-11-30,-0.0043,-0.0193,0.0006,-0.0044,-0.0602,-0.002780845629,,,,0.004347826087
1947-12-31,0.0534,0.0309,0.0008,0.0943,0.104,-0.00745030368,,,,0.01298701299
1948-01-31,-0.0471,-0.0386,0.0007,-0.0755,-0.071,0.002041666667,,,,0.01282051282
1948-02-29,-0.0366,-0.0431,0.0007,-0.029,-0.0919,0.003616797234,,,,-0.008438818565
1948-03-31,0.1287,0.082,0.0009,0.0994,0.0955,0.002033333333,,,,-0.004255319149
1948-04-30,0.0718,0.0373,0.0008,0.1136,-0.0033,0.005189481549,,,,0.01709401709
1948-05-31,0.0765,0.074,0.0008,0.06,0.1764,0.003596215477,,,,0.004201680672
1948-06-30,0.0348,-0.0002,0.0009,0.0353,-0.109,0.002008333333,,,,0.008368200837
1948-07-31,-0.0612,-0.05,0.0008,-0.0726,-0.075,-0.004286313565,,,,0.01244813278
1948-08-31,-0.001,0.0033,0.0009,-0.0207,0.0032,0.002041666667,,,,0.004098360656
1948-09-30,-0.0595,-0.0295,0.0004,-0.0445,0.0144,0.002041666667,,,,0
1948-10-31,0.0715,0.06,0.0004,0.0924,0.0359,0.003616797234,,,,-0.004081632653
1948-11-30,-0.1174,-0.093,0.0004,-0.1236,-0.0609,0.002033333333,,,,-0.008196721311
1948-12-31,0.0554,0.033,0.0004,0.0488,0.0064,0.005189481549,,,,-0.004132231405
1949-01-31,-0.017,0.0033,0.001,-0.0382,-0.0516,0.006764178962,,,,-0.004149377593
1949-02-28,-0.0424,-0.0284,0.0009,-0.0423,0.0045,0.003575651356,,,,-0.008333333333
1949-03-31,0.0692,0.0415,0.001,0.0609,0.1211,0.001983333333,,,,0
1949-04-30,-0.0132,-0.0178,0.0009,0.0145,-0.0067,0.001983333333,,,,0.004201680672
1949-05-31,-0.0218,-0.0288,0.001,-0.0575,-0.0118,0.001983333333,,,,-0.004184100418
1949-06-30,-0.0053,0.002,0.001,-0.012,-0.0271,0.01958775302,,,,0.004201680672
1949-07-31,0.0488,0.0563,0.0009,0.0624,0.0205,0.006706429852,,,,-0.008368200837
1949-08-31,0.026,0.0268,0.0009,0.0554,0.0652,0.005082554595,,,,0.004219409283
1949-09-30,0.0463,0.0318,0.0009,0.0302,0.0505,0.00185,,,,0.004201680672
1949-10-31,0.0519,0.0323,0.0009,0.0378,0.0661,0.00507194988,,,,-0.008368200837
1949-11-30,0.0366,0.0189,0.0008,-0.0297,0.0509,0.003445826796,,,,0.004219409283
1949-12-31,0.0642,0.0523,0.0009,0.0116,0.019,0.0002140250601,,,,-0.008403361345
1950-01-31,0.0263,0.0179,0.0009,-0.0072,-0.024,-0.004586350913,,,,-0.004237288136
1950-02-28,0.0206,0.0157,0.0009,-0.0049,0.0047,-0.002934538703,,,,0
1950-03-31,0.0216,0.0136,0.001,0.0492,-0.0528,-0.002896034958,,,,0.004255319149
1950-04-30,0.0319,0.0403,0.0009,0.0334,0.0717,0.0003222625507,,,,0
