Symbol,Tradable,DollarVolume,Price,Score,Rank,AsOf
BSX,Y,8.75547e+08,44.62,,,2026-09-23
BTI,Y,2.35538e+08,55.85,,,2026-09-23
BVN,Y,2.87759e+07,33.42,,,2026-09-23
BWA,Y,1.23066e+08,60.55,,,2026-09-23
BX,Y,5.07337e+08,119.27,,,2026-09-23
BXMT,Y,2.79117e+07,12.57,,,2026-09-23
BXP,Y,8.52583e+07,62.36,,,2026-09-23
C,Y,1.37808e+09,131.93,,,2026-09-23
CAG,Y,1.81288e+08,14.78,,,2026-09-23
CAH,Y,4.15261e+08,221.27,,,2026-09-23
CAKE,Y,1.51143e+08,104.41,,,2026-09-23
CALY,Y,2.87736e+07,14.59,,,2026-09-23
CAT,Y,2.15658e+09,812.02,,,2026-09-23
CB,Y,5.75296e+08,335.21,,,2026-09-23
CBRE,Y,2.22031e+08,136.41,,,2026-09-23
CBSH,Y,5.86754e+07,55.59,,,2026-09-23
CBZ,Y,4.06853e+07,54.66,,,2026-09-23
CCEP,Y,1.82046e+08,99.69,,,2026-09-23
CCJ,Y,2.75627e+08,90.8,,,2026-09-23
CCL,Y,4.58569e+08,21.8,-1.30873,55,2026-09-23
CDE,Y,5.70731e+08,19.32,,,2026-09-23
CDNS,Y,6.90626e+08,309.09,,,2026-09-23
CE,Y,7.23995e+07,48.49,,,2026-09-23
CELH,Y,2.39815e+08,29.18,-2.60222,70,2026-09-23
CENX,Y,7.21978e+07,38.82,,,2026-09-23
CF,Y,2.87242e+08,120.64,,,2026-09-23
CGAU,Y,2.68917e+07,22.61,,,2026-09-23
CGNX,Y,1.10169e+08,58.19,,,2026-09-23
CHD,Y,1.69448e+08,96.02,,,2026-09-23
CHDN,Y,7.9076e+07,80.46,,,2026-09-23
CHKP,Y,1.49137e+08,141.16,,,2026-09-23
CHRW,Y,2.30232e+08,149.67,,,2026-09-23
CI,Y,4.03638e+08,268.27,,,2026-09-23
CIEN,Y,7.78262e+08,355.91,,,2026-09-23
CL,Y,3.90437e+08,85.93,,,2026-09-23
CLDX,Y,3.29242e+07,31.12,1.27457,18,2026-09-23
CLF,Y,1.77476e+08,12.87,-1.34185,56,2026-09-23
CLMT,Y,5.37469e+07,54.38,,,2026-09-23
CLS,Y,6.888e+08,361.84,,,2026-09-23
CLX,Y,2.25661e+08,83.94,,,2026-09-23
CM,Y,1.21046e+08,111.45,,,2026-09-23
CMC,Y,7.04981e+07,64.66,,,2026-09-23
CMCSA,Y,6.66529e+08,22.55,-2.27617,67,2026-09-23
CME,Y,4.96784e+08,270.8,,,2026-09-23
CMG,Y,5.33944e+08,32.71,-1.58908,59,2026-09-23
CMI,Y,5.75879e+08,524.65,,,2026-09-23
CMS,Y,2.34671e+08,63.15,,,2026-09-23
CNC,Y,2.7572e+08,62.08,,,2026-09-23
CNI,Y,1.65062e+08,119.49,,,2026-09-23
CNK,Y,7.3885e+07,35.79,,,2026-09-23
CNP,Y,2.5604e+08,37.16,,,2026-09-23
CNQ,Y,3.2532e+08,47.64,,,2026-09-23
CNX,Y,5.284e+07,33,,,2026-09-23
COF,Y,7.68072e+08,196.1,,,2026-09-23
COHR,Y,1.60412e+09,300.6,3.07464,4,2026-09-23
COHU,Y,5.35338e+07,64.48,,,2026-09-23
COLB,Y,8.21905e+07,28.85,,,2026-09-23
COO,Y,1.448e+08,56.07,,,2026-09-23
COP,Y,7.68179e+08,128.09,,,2026-09-23
COR,Y,3.73427e+08,312.28,,,2026-09-23
CORT,Y,1.0149e+08,112.94,,,2026-09-23
COST,Y,1.92215e+09,904.7,,,2026-09-23
CP,Y,1.98174e+08,88.28,,,2026-09-23
CPB,Y,1.26104e+08,20.34,,,2026-09-23
CPRT,Y,3.01598e+08,28.865,,,2026-09-23
CRH,Y,4.14309e+08,85.23,,,2026-09-23
CRI,Y,3.78484e+07,29.77,,,2026-09-23
CRK,Y,3.18034e+07,13.45,,,2026-09-23
CRM,Y,2.35689e+09,237.58,,,2026-09-23
CROX,Y,1.22221e+08,124.62,,,2026-09-23
CSCO,Y,2.04808e+09,106.43,2.38124,12,2026-09-23
CSGP,Y,1.85598e+08,28.26,,,2026-09-23
CSIQ,Y,2.80379e+07,11.34,,,2026-09-23
