Symbol,Tradable,DollarVolume,Price,Score,Rank,AsOf
A,Y,2.72665e+08,156.47,0.558917,306,2026-09-21
AA,Y,2.33939e+08,44.43,1.17601,176,2026-09-21
AAL,Y,9.85829e+08,12.96,0.245985,367,2026-09-21
AAON,Y,9.43349e+07,76.76,-0.867541,519,2026-09-21
AAP,Y,8.04358e+07,42.55,-0.769177,507,2026-09-21
AAPL,Y,1.4108e+10,336.13,1.19142,168,2026-09-21
ABT,Y,9.4196e+08,102.61,-2.22,684,2026-09-21
ACAD,Y,3.95627e+07,27.29,-0.339881,448,2026-09-21
ACGL,Y,1.84211e+08,96.89,-0.454769,468,2026-09-21
ACHC,Y,6.0917e+07,28.33,0.0476688,403,2026-09-21
ACIW,Y,4.88674e+07,50.27,-1.1335,557,2026-09-21
ACM,Y,1.04491e+08,61.99,-2.31469,696,2026-09-21
ACN,Y,1.00046e+09,181.29,-2.87863,727,2026-09-21
ADBE,Y,1.23502e+09,248.92,-2.94244,731,2026-09-21
ADC,Y,8.97884e+07,68.05,-1.47867,598,2026-09-21
ADEA,Y,2.64778e+07,24.805,2.43584,18,2026-09-21
ADI,Y,1.31598e+09,375.72,2.2411,30,2026-09-21
ADM,Y,2.90963e+08,85.18,1.06185,201,2026-09-21
ADP,Y,5.74689e+08,271.22,-0.602168,483,2026-09-21
ADSK,Y,4.5212e+08,216.95,-2.80832,723,2026-09-21
AEE,Y,1.60975e+08,102.23,-0.43974,466,2026-09-21
AEHL,N,580784,8.41,,,2026-09-21
AEHR,Y,2.00402e+08,93.49,2.56567,13,2026-09-21
AEM,Y,4.14129e+08,199.49,-0.372709,454,2026-09-21
AEO,Y,7.63105e+07,15.06,-1.55969,612,2026-09-21
AEP,Y,4.70128e+08,120,0.401195,336,2026-09-21
AER,Y,1.5458e+08,141.64,0.747595,264,2026-09-21
AES,Y,1.07539e+08,14.83,0.0796617,395,2026-09-21
AFL,Y,2.28509e+08,116.33,-0.383699,455,2026-09-21
AG,Y,1.74995e+08,19.84,0.300494,358,2026-09-21
AGI,Y,1.22553e+08,35.72,-0.755616,503,2026-09-21
AIG,Y,2.60383e+08,75.33,-1.38378,589,2026-09-21
AJG,Y,3.50302e+08,239.48,-1.95573,668,2026-09-21
AKAM,Y,3.60962e+08,104.52,1.19428,167,2026-09-21
AKR,Y,2.87379e+07,19.28,-0.74177,499,2026-09-21
ALB,Y,2.74547e+08,110.91,1.29112,152,2026-09-21
ALK,Y,1.146e+08,40.54,-1.12064,554,2026-09-21
ALKS,Y,7.80051e+07,43.39,1.57677,96,2026-09-21
ALL,Y,3.76394e+08,249.83,0.391164,339,2026-09-21
ALNY,Y,3.79462e+08,239.56,-1.75838,646,2026-09-21
AMAT,Y,3.71008e+09,444.57,2.3618,21,2026-09-21
AMD,Y,1.22549e+10,559.82,2.44732,17,2026-09-21
AME,Y,2.75905e+08,237.64,1.13874,185,2026-09-21
AMGN,Y,9.56195e+08,385.65,0.67962,278,2026-09-21
AMKR,Y,2.53103e+08,50.3,1.82544,71,2026-09-21
AMX,Y,4.59494e+07,22.43,0.296324,359,2026-09-21
AMZN,Y,8.86067e+09,253.71,0.084056,394,2026-09-21
ANF,Y,1.18032e+08,135.76,-0.128593,424,2026-09-21
AON,Y,4.43582e+08,295.64,-1.92724,663,2026-09-21
AOS,Y,9.04516e+07,56.95,-2.33685,700,2026-09-21
APA,Y,2.02583e+08,44.87,1.18028,175,2026-09-21
APD,Y,3.0759e+08,284.18,0.0184145,410,2026-09-21
APH,Y,9.54417e+08,77.55,1.20003,165,2026-09-21
APPS,Y,2.98854e+07,10.66,0.661328,283,2026-09-21
ARCC,Y,8.03072e+07,19.4,0.0932924,392,2026-09-21
ARE,Y,8.64118e+07,53.3,-2.32236,698,2026-09-21
AROC,Y,5.91935e+07,31.56,1.28177,155,2026-09-21
ARR,Y,5.78074e+07,14.68,1.01079,212,2026-09-21
ARWR,Y,1.32405e+08,66.48,2.60342,12,2026-09-21
ASB,Y,5.39912e+07,29.66,0.654675,286,2026-09-21
ASML,Y,2.43401e+09,1679.92,2.65678,10,2026-09-21
ASX,Y,2.951e+08,41.63,2.36731,20,2026-09-21
ATEC,Y,1.74873e+07,10.18,-3.10249,737,2026-09-21
ATI,Y,2.88442e+08,191.63,2.37563,19,2026-09-21
ATO,Y,1.76674e+08,160.3,-1.53517,608,2026-09-21
AU,Y,2.12938e+08,103.29,0.77784,257,2026-09-21
AUB,Y,3.90784e+07,39.03,0.66349,282,2026-09-21
AVAV,Y,2.14535e+08,159.95,-2.25274,687,2026-09-21
